by,descendants,id,kids,score,time,title,type,url,text
sohkamyung,2.0,43361959,"[43362137, 43362087]",21,1741955104,A Look at Firefox Forks,story,https://lwn.net/Articles/1012453/,
kristianp,33.0,43360894,"[43362149, 43362120, 43361078, 43361378, 43361281, 43361215, 43362059, 43361053, 43361448]",63,1741944238,AMD's Strix Halo – Under the Hood,story,https://chipsandcheese.com/p/amds-strix-halo-under-the-hood,
perihelions,19.0,43321109,"[43362128, 43361881, 43361684, 43321386, 43361674, 43361422, 43361685]",58,1741617190,"Magpies and Crows Are Using ""Anti-Bird Spikes"" to Make Their Nests (2023)",story,https://www.audubon.org/magazine/apparently-magpies-and-crows-are-using-anti-bird-spikes-make-their-nests,
tu7001,11.0,43361309,"[43362053, 43361960, 43362023, 43362085]",31,1741949230,Aspartame aggravates atherosclerosis through insulin-triggered inflammation,story,https://www.cell.com/cell-metabolism/pdfExtended/S1550-4131(25)00006-3,
riv991,1.0,43361737,[43362093],15,1741953317,In S3 simplicity is table stakes,story,https://www.allthingsdistributed.com/2025/03/in-s3-simplicity-is-table-stakes.html,
todsacerdoti,96.0,43360642,"[43361031, 43360798, 43360829, 43361323, 43361300, 43360766, 43361229, 43361100, 43361132, 43360709]",140,1741941368,I-cant-believe-its-not-webusb: Hacking around lack of WebUSB support in Firefox,story,https://github.com/ArcaneNibble/i-cant-believe-its-not-webusb,
acdha,42.0,43339212,"[43361206, 43361142, 43361020, 43361166, 43361610, 43361414, 43361605, 43360961]",118,1741744532,My Scammer Girlfriend: Baiting a Romance Fraudster,story,https://www.bentasker.co.uk/posts/blog/security/seducing-a-romance-scammer.html,
nicholasjbs,,43361773,,1,1741953633,Recurse Center (YC S10) Is Hiring an Office and Operations Assistant (New York),job,https://recurse.notion.site/Office-Operations-Assistant-2a579bdf1d4e4baa9b6e5b7774803b70,
perbu,38.0,43358980,"[43359546, 43359696, 43362049, 43359786, 43360897, 43359476, 43360411, 43360214, 43360785, 43360661, 43360908, 43359560, 43360387, 43361496, 43360173, 43360055]",207,1741918331,TinyKVM: Fast sandbox that runs on top of Varnish,story,https://info.varnish-software.com/blog/tinykvm-the-fastest-sandbox,
ozanonay,160.0,43356314,"[43357371, 43358527, 43357674, 43357032, 43356431, 43361420, 43357651, 43357407, 43357131, 43357165, 43357170, 43359568, 43357726, 43359609, 43360617, 43360875, 43360430, 43358836, 43360190, 43358731, 43357502, 43360106, 43356455, 43358503, 43356567, 43357578, 43360491, 43359411, 43357162, 43359161, 43356654, 43357538]",450,1741892717,The Lost Art of Logarithms,story,https://www.lostartoflogarithms.com/,
Garbage,0.0,43361801,,3,1741953931,Beyond the 70%: Maximizing the human 30% of AI-assisted coding,story,https://addyo.substack.com/p/beyond-the-70-maximizing-the-human,
jonbaer,577.0,43352531,"[43354992, 43358792, 43354979, 43358187, 43356441, 43355216, 43359111, 43358378, 43361097, 43355204, 43355168, 43359079, 43358214, 43357176, 43359186, 43356423, 43356640, 43357603, 43359229, 43357408, 43359026, 43360309, 43361364, 43358528, 43355196, 43359388, 43355848, 43357965, 43360957, 43357748, 43358726, 43359230, 43360682, 43355507, 43355442, 43357840, 43359277, 43359587, 43357023, 43357496, 43357508, 43355262, 43358577, 43359011, 43355458, 43356227, 43359050, 43354964, 43357210, 43360191, 43358960, 43359656, 43357206, 43357683, 43359069, 43359136, 43358572, 43355743, 43357481, 43355274, 43355209, 43355622, 43357264, 43359046, 43355626, 43359015, 43356726, 43357268, 43359071, 43357640, 43354949, 43355109, 43356561, 43354965, 43359049, 43355000, 43355969, 43354781, 43355329, 43354997, 43355108, 43356942, 43359151]",643,1741868429,OpenAI asks White House for relief from state AI rules,story,https://finance.yahoo.com/news/openai-asks-white-house-relief-100000706.html,
jnord,376.0,43356995,"[43357184, 43358384, 43360377, 43357667, 43359409, 43357180, 43361910, 43358995, 43357392, 43358149, 43360940, 43357293, 43357277, 43360225, 43361631, 43359764, 43360868, 43357388, 43361154, 43359315, 43358751, 43359056, 43359110, 43357484, 43359569, 43360482, 43360350, 43357325, 43357916, 43360036, 43358089, 43359255, 43359675, 43358965, 43359776, 43360344, 43360453, 43357454, 43361772, 43357266, 43358951, 43358717, 43357653, 43358685, 43358770, 43358739, 43359279, 43360049, 43358303, 43357263, 43359624, 43359760, 43359475, 43357450, 43358950, 43360509, 43358013, 43357644, 43357571, 43358982, 43358197, 43357951, 43360568, 43360415, 43358805, 43357472, 43357124, 43359723, 43357509, 43357522]",428,1741898147,"""Normal"" engineers are the key to great teams",story,https://spectrum.ieee.org/10x-engineer,
AntiRush,184.0,43360024,"[43360586, 43362142, 43360362, 43360323, 43362147, 43361863, 43360277, 43362016, 43360958, 43361216, 43361390, 43360758, 43360743, 43361594, 43361842, 43361542, 43362019, 43361997, 43361472, 43361319, 43360382, 43361069, 43360456, 43360396, 43360378, 43360337, 43360405]",340,1741932475,Ex-Facebook director's new book paints brutal image of Mark Zuckerberg,story,https://www.sfgate.com/tech/article/ex-facebook-director-book-brutal-image-zuckerberg-20220239.php,
nivethan,100.0,43358947,"[43361757, 43360088, 43359751, 43359385, 43361732, 43361110, 43359494, 43359380, 43361570, 43359553, 43359100, 43359796, 43360071]",179,1741917635,The Church FAQ,story,https://whatever.scalzi.com/2025/03/13/the-church-faq/,
herbertl,141.0,43353822,"[43354335, 43354272, 43354092, 43357543, 43357108, 43354321, 43354149, 43357084, 43359481, 43355201, 43354206, 43354260, 43355806, 43354139, 43354001, 43354171, 43354183, 43355764, 43354518, 43356070, 43354671, 43354175, 43354059, 43354180]",326,1741876625,Steam Networks,story,https://worksinprogress.co/issue/steam-networks/,
awnird,33.0,43358628,"[43359250, 43362129, 43359429, 43359290, 43360137, 43361226, 43359344, 43359480, 43359211, 43359572, 43359365]",74,1741913158,"The 2008 coal ash disaster in Kingston, Tennessee",story,https://oxfordamerican.org/oa-now/the-toxic-wave-that-swallowed-a-tennessee-town,
pseudolus,4.0,43361381,[43361973],21,1741949927,Pressure grows to hold secret Apple data privacy hearing in public,story,https://www.bbc.com/news/articles/c4g0rr51gn3o,
TheAceOfHearts,10.0,43330143,"[43360200, 43361928, 43360597, 43360918, 43361582, 43360988, 43361429]",44,1741679309,Creative Fansubbing Techniques: Part 2,story,https://www.md-subs.com/blog/creative-fansubbing-techniques-2,
chenquan,38.0,43358682,"[43359491, 43360936, 43358968, 43358683, 43360041, 43360218, 43359430]",77,1741913909,ArkFlow – High-performance Rust stream processing engine,story,https://github.com/chenquan/arkflow,
mpweiher,45.0,43357955,"[43358426, 43360428, 43361584, 43358740, 43358114, 43358714, 43360359, 43359765, 43358390, 43359351, 43358468, 43359964, 43358152, 43358360]",141,1741906125,C Plus Prolog,story,https://github.com/needleful/c_plus_prolog,
protik49,0.0,43320194,,3,1741612095,Probabilistic Time Series Forecasting,story,https://github.com/Protik49/Probabilistic-Time-Series-Forecasting,
milar,126.0,43355031,"[43355397, 43361955, 43355824, 43355972, 43356667, 43356625, 43356323, 43355841, 43360556, 43355655, 43360005, 43356054, 43355667, 43357197, 43356771, 43361102, 43358453, 43361487, 43355941, 43356676, 43355994, 43356022, 43355223, 43356646, 43357514, 43356862, 43357201]",345,1741884387,IO Devices and Latency,story,https://planetscale.com/blog/io-devices-and-latency,
spyc,86.0,43357687,"[43360229, 43358161, 43358247, 43358232, 43358672, 43360289, 43358316, 43360695, 43358458, 43357919, 43360749, 43360691, 43358262, 43358559, 43357985, 43359549, 43357813, 43358671]",106,1741903544,Recursion kills: The story behind CVE-2024-8176 in libexpat,story,https://blog.hartwork.org/posts/expat-2-7-0-released/,
mrkramer,188.0,43357739,"[43359956, 43359471, 43361385, 43360899, 43361376, 43359532, 43361428, 43360519, 43361189, 43361893, 43361820, 43359678, 43361267, 43360341, 43359755, 43359635, 43359671, 43362008, 43358299, 43362001, 43358550, 43357881, 43359670]",283,1741903951,Y Combinator urges the White House to support Europe's Digital Markets Act,story,https://techcrunch.com/2025/03/13/y-combinator-urges-the-white-house-to-support-europes-digital-markets-act/,
Tomte,50.0,43351988,"[43352635, 43353084, 43352678, 43356705, 43354643, 43354167, 43358705, 43353139, 43353715, 43352858, 43353418, 43352202, 43354845, 43352342, 43356355, 43352930, 43352290]",237,1741862634,Amateur Telescope Making Main Page,story,https://stellafane.org/tm/atm/,
01-_-,8.0,43361822,"[43362116, 43362071, 43362034, 43362148, 43362014]",15,1741954026,Apple will soon support encrypted RCS messaging with Android users,story,https://www.theverge.com/news/629620/apple-iphone-e2ee-encryption-rcs-messaging-android,
dmit,58.0,43349385,"[43355629, 43357135, 43357039, 43356079, 43358669, 43360468, 43356960, 43356706, 43357285, 43358331, 43357850, 43355720, 43356964, 43359550, 43355792, 43358404, 43356933, 43357132, 43355569, 43358031, 43359422, 43356306, 43356924, 43356651, 43357169]",154,1741827890,A new Sudoku layout with 81 uniquely shaped cells,story,https://danielchasehooper.com/posts/cracked-sudoku/,
